3415,2929,2512,2154,1848,1585,1359,1000,631,398.1,251.2,158.5,100,63.1,39.81,25.12,15.85,10,6.31,3.981,2.512,1.585,1,0.631,0.3981,0.2512,0.1585,0,0
7.223,3.6,3.6,3.6,3.6,3.6,3.708,3.6,3.6,3.6,3.6,3.6,3.813,3.6,4.902,6.942,9.295,52.286,175.99,300.383,356.402,380.517,356.766,381.905,373.767,369.111,340.867,308.077,315.514
3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.79,8.214,44.839,71.924,106.754,159.898,209.924,298.203,342.727,371.319,364.181,368.528,355.978,341.222,312.218,295.32,301.877
10.6,3.6,3.613,11.19,3.6,3.6,3.6,3.6,3.812,3.6,3.6,3.6,3.6,3.6,4.321,6.1,10.124,49.794,178.854,299.968,348.788,371.441,364.785,370.223,359.486,358.363,324.521,305.915,303.861
9.883,3.6,3.722,3.688,3.6,3.6,3.642,3.6,4.489,4.058,3.6,3.643,4.085,3.644,5.404,7.081,11.729,38.494,178.324,298.984,341.975,375.241,374.545,374.662,366.136,359.891,326.101,294.434,314.31
3.6,3.6,3.6,4.795,4.145,4.361,4.46,3.743,4.176,3.648,3.6,3.6,3.6,3.647,5.558,8.132,17.283,64.238,214.958,320.657,368.96,353.925,364.776,367.091,366.879,369.807,362.826,344.547,352.538
3.6,3.6,3.6,3.911,3.787,4.074,4.387,4.34,5.516,3.978,3.722,3.6,5.48,6.202,5.848,8.398,19.262,72.889,223.576,328.045,366.134,345.619,347.953,343.996,342.115,342.35,330.622,319.243,323.925
3.654,3.616,3.6,3.647,3.649,3.694,3.936,3.841,3.908,3.743,3.6,3.6,3.6,3.696,4.457,6.227,12.875,45.893,199.191,319.238,364.381,352.452,352.643,351.412,351.441,349.732,337.984,327.354,331.33
3.6,3.6,3.6,4.591,5.001,5.003,4.951,4.858,11.964,3.938,3.6,3.6,3.6,4.741,6.063,7.962,13.336,45.768,190.682,305.298,357.724,346.285,360.575,363.097,374.081,363.977,356.514,328.74,347.206
3.6,3.613,3.6,3.6,3.6,3.673,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,4.648,6.768,16.627,119.077,247.961,299.8,358.21,387.151,392.41,411.968,401.201,397.623,372.418,332.847,335.509
3.735,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,4.304,4.449,6.775,37.112,165.215,269.196,322.5,352.514,370.744,376.576,376.906,372.51,344.836,331.652,308.976,332.267
3.644,3.781,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.691,6.143,13.361,65.42,219.112,286.685,347.074,373.746,381.981,380.706,380.05,377.311,361.543,353.371,385.449
3.6,3.6,3.6,3.6,3.6,3.6,3.691,3.6,3.693,4.211,4.369,4.186,6.524,7.594,4.956,6.357,10.715,34.832,181.808,289.354,345.557,374.838,393,406.677,400.136,394.961,383.042,349.775,357.98